Melbourne Law School|University of Melbourne,3
Merton College,3
Michigan State University,3
Mississippi State University,3
Southern Methodist University|Dedman School of Law,3
Rio de Janeiro State University,3
The Catholic University of America,3
Bryn Mawr College,3
Westminster School,3
Western University,3
Baron Byng High School,2
Bowdoin College,2
University of British Columbia,2
St Paul's School,2
Suffolk University|Suffolk University Law School,2
"School of Oriental and African Studies, University of London",2
Yale Law School|Harvard University|Harvard College,2
Worcester College,2
Smith College,2
University of Saskatchewan,2
DePauw University,2
Wellesley College|Harvard Law School,2
University of Virginia School of Law|Princeton University,2
Cornell University|Harvard Law School,2
College of Idaho,2
Girton College,2
Ghana School of Law|Wesley Girls' High School,2
James Madison High School,2
University of Exeter,2
Northeastern University,2
Morgan State University,2
University of Wales,2
Anglo-Chinese School,2
Case Western Reserve University,2
Harvard Law School|Magdalen College,2
Moscow State Institute of International Relations,2
Massachusetts Institute of Technology,2
Princeton University|Princeton School of Public and International Affairs|Harvard Law School,2
Auckland Grammar School,1
Wesleyan University|Harvard Law School,1
Whitman College,1
Balliol College|Harvard Law School,1
St. John's University,1
Arkansas State University,1
St. Xavier High School,1
St. Norbert College,1
Suffolk University Law School|Suffolk University,1
Australian National University,1
Brown University|Harvard Law School,1
Xavier High School,1
Phillips Exeter Academy|Harvard Law School,1
Pembroke College,1
Paris-Sorbonne University - Paris IV,1
University of Cambridge|Harvard Law School,1
"University of California, Los Angeles|Harvard Law School",1
University of Arizona,1
University of Adelaide|St Peter's College,1
Union College,1
Shorewood High School|Harvard Law School,1
St Peter's College|University of Adelaide,1
Smith College|Harvard Law School,1
Sidney Sussex College,1
Shri Ram College of Commerce,1
The Wharton School|Harvard Law School,1
Trinity University,1
Selwyn College,1
Wichita State University,1
William Jewell College,1
Yale Law School|Magdalen College,1
University of Graz,1
Harvard Law School|Princeton School of Public and International Affairs|Princeton University,1
"Harvard Law School|University of California, Berkeley",1
Kenyon College,1
Lawrence University,1
Johns Hopkins University|Georgetown University Law Center,1
Regis High School,1
National University of Singapore|Harvard Law School,1
University of Connecticut,1
University of Fribourg,1
University of Geneva,1
University of Delhi|Faculty of Law,1
Pingry School,1
Hamilton College,1
Georgia State University College of Law,1
University of Namur,1
University of Oslo Faculty of Law,1
University of Illinois Urbana–Champaign|Harvard Law School,1
Harvard University|Harvard College|Yale Law School,1
Harvard Law School|University of Oklahoma,1
Harvard Law School|University of Virginia,1
Magdalen College|Harvard Law School,1
London School of Economics and Political Science|Harvard Law School,1
University of South Florida,1
Harvard Law School|Georgetown University Law Center,1
University of Rochester,1
University of Santo Tomas|University of Santo Tomas Faculty of Civil Law,1
University of Saskatchewan College of Law,1
Harvard Law School|Dartmouth College,1
Georgetown University Law Center|Watertown High School,1
Faculty of Law|Shri Ram College of Commerce,1
Faculty of Law|Harvard Law School,1
Duke University|Harvard Law School,1
Dedman School of Law|Southern Methodist University,1
Dedman School of Law,1
Davidson College|Harvard Law School,1
College of the Holy Cross|Harvard Law School,1
Columbia College|Columbia University,1
Columbia University|Harvard Law School,1
Cairo University|Harvard Law School,1
University of Wisconsin–Milwaukee,1
University of the Philippines|Centro Escolar University,1
University of Zululand|Harvard Law School,1
Vassar College,1
Yale University|Phillips Exeter Academy,1
