,typesOrg,orgMainType,number,numberOrg
1342,justice ministry,not classified organisation,29,1
1952,"studentenverbindung, catholic",not classified organisation,29,1
1421,law society,learned society,29,1
943,faculty | faculty of law | law school,university,29,3
691,comprehensive university | open-access publisher | organization | public research university,university,29,4
1722,parliamentary assembly,not classified organisation,29,1
1646,open-access publisher | public educational institution | publishing company | university,university,29,4
27,academic institution | public university,public university,28,2
718,constitutional court | court,not classified organisation,28,2
1843,public university | research university,public university,28,2
289,boarding school | charitable organization | independent school,educational institution,28,3
1366,land-grant university | open-access publisher | production company | public educational institution of the united states | public research university,university,28,5
1297,international court,not classified organisation,27,1
74,academy of sciences,academy of sciences,27,1
631,college | private not-for-profit educational institution | university campus,university,27,3
1372,land-grant university | open-access publisher | public educational institution of the united states | university,university,27,4
462,campus university | public university,public university,27,2
1629,open-access publisher | private not-for-profit educational institution | research institute | university,university,27,4
88,academy of sciences | learned society | national academy | open-access publisher | organization | publishing company,learned society,26,6
627,college | open-access publisher | private not-for-profit educational institution | university,university,26,4
1976,u.s. state supreme court,not classified organisation,26,1
2,501(c)(3) organization | group of structures or buildings | private not-for-profit educational institution | private university | research university,private university,26,5
1112,gymnasium in germany,educational institution,25,1
1776,private not-for-profit educational institution | school,educational institution,25,2
1641,open-access publisher | public educational institution of the united states | public university,public university,25,3
1663,open-access publisher | state university system | university,university,25,3
1382,land-grant university | public educational institution of the united states | public university,public university,25,3
1441,legislative term of the national assembly of bulgaria,not classified organisation,25,1
598,collection | public educational institution of the united states | university,university,25,3
1917,selective school,educational institution,24,1
1553,national university | open-access publisher | research university,university,24,3
765,cultural property | heritage site | open-access publisher | public research university,university,24,4
1881,residential college,educational institution,24,1
165,altherrenverein | schülerverbindung | studentenverbindung,not classified organisation,23,3
1024,gentlemen's club,not classified organisation,23,1
1841,public university | publishing company,public university,23,2
887,educational organization | higher education institution | public university,public university,22,3
1655,open-access publisher | public research university | university | university in british columbia,university,22,4
46,academic publisher | grand établissement | grande école | organization | public university,public university,22,5
1614,open-access publisher | organization | university,university,22,3
125,academy | national academy,scientific organisation,22,2
316,boarding school | high school | school,educational institution,22,3
693,comprehensive university | open-access publisher | public research university,university,22,3
1642,open-access publisher | public educational institution of the united states | university,university,22,3
119,academy | charitable organization | organization,learned society,22,3
1748,pontifical university,university,21,1
1739,political organization,not classified organisation,21,1
1086,graduate school | law school,educational institution,21,2
1246,human | person,not classified organisation,21,2
1555,national university | research university,university,21,2
326,boarding school | independent school | school building,educational institution,21,3
890,educational organization | open-access publisher | public research university,university,20,3
633,college | public educational institution of the united states,educational institution,20,2
1866,q965287,not classified organisation,20,1
1597,nonprofit organization | voluntary association,scientific organisation,20,2
1918,seminary,not classified organisation,20,1
244,autonomous university | open-access publisher | organization | research university,university,20,4
1225,historically black college or university | land-grant university | public educational institution of the united states | public university,public university,20,4
83,academy of sciences | collection | national academy,academy of sciences,20,3
1452,liberal arts college | private not-for-profit educational institution | private university,private university,19,3
1439,legislative term,not classified organisation,19,1
1650,open-access publisher | public research university | public university | research university | university in ontario,public university,19,5
1377,land-grant university | public educational institution of the united states | public research university | sea grant institution | space grant institution,university,19,5
1448,liberal arts college in the united states | private not-for-profit educational institution | university campus,university,19,3
1226,historically black college or university | land-grant university | public educational institution of the united states | university,university,19,4
1784,private school,educational institution,19,1
937,faculty of law | law school,university,19,2
1077,government of german reich,company or gov. agency,18,1
1635,open-access publisher | production company | public research university,university,18,3
892,educational organization | open-access publisher | university,university,18,3
969,federal university | open-access publisher,university,18,2
1190,higher education institution | open-access publisher | public university,public university,18,3
818,dutch district court,not classified organisation,18,1
1444,liberal arts college,educational institution,18,1
425,business school | private university,private university,18,2
60,academic publisher | open-access publisher | public university | research institute,public university,18,4
1997,university | university building,university,17,2
523,catholic university | university,university,17,2
1381,land-grant university | public educational institution of the united states | public research university | university campus,university,17,4
1495,military academy | military school | public educational institution of the united states,educational institution,17,3
1514,ministry,not classified organisation,17,1
14,academic institution | educational institution | law school,educational institution,17,3
625,college | liberal arts college | private not-for-profit educational institution | private university,private university,17,4
1604,oberlandesgericht,not classified organisation,17,1
1074,government body of australia | production company | public university,public university,17,3
1350,justice ministry | united states federal executive department,not classified organisation,17,2
1229,historically black college or university | private not-for-profit educational institution | university,university,17,3
1628,open-access publisher | private not-for-profit educational institution | publishing company | university,university,17,4
86,academy of sciences | learned society | national academy,learned society,16,3
1066,government agency | judicial council,company or gov. agency,16,2
291,boarding school | charitable organization | independent school | school,educational institution,16,4
341,boarding school | school,educational institution,16,2
1378,land-grant university | public educational institution of the united states | public research university | sun grant institution,university,16,4
1384,land-grant university | public educational institution of the united states | public university | research university | space grant institution,public university,16,5
514,catholic university | open-access publisher | private not-for-profit educational institution | private university,private university,16,4
135,administrative court,not classified organisation,16,1
403,building | private not-for-profit educational institution | university,university,16,3
610,college of the university of cambridge | school building | university building,university,16,3
80,academy of sciences | building | language regulator | museum,academy of sciences,16,4
351,boys' high school,educational institution,16,1
808,district court,not classified organisation,15,1
1385,land-grant university | public educational institution of the united states | public university | university,public university,15,4
1463,local court (germany) | registration court,not classified organisation,15,2
447,business | open-access publisher | university,university,15,3
1662,open-access publisher | research university | university,university,15,3
1796,production company | public research university | research institute,university,15,3
891,educational organization | open-access publisher | public university | publishing company,public university,15,4
623,college | historically black college or university | private not-for-profit educational institution,university,15,3
68,academic publisher | public research university,university,15,2
851,educational institution | open-access publisher | public research university | university in new brunswick,university,15,4
732,council,not classified organisation,15,1
1661,open-access publisher | publishing company | university,university,15,3
721,constitutional court | supreme court,not classified organisation,15,2
1830,public research university | university in manitoba,university,15,2
1593,"nonprofit organization | studentenverbindung, catholic",scientific organisation,14,2
270,boarding school | boys' high school | high school | public school | secondary school,educational institution,14,5
1170,high school | secondary school,educational institution,14,2
243,autonomous university | comprehensive academic and research university | corporation | open-access publisher | public research university,university,14,5
1343,justice ministry | ministries of denmark,not classified organisation,14,2
1320,japanese high school,educational institution,14,1
1742,political party,not classified organisation,14,1
1744,political police | secret police,not classified organisation,14,2
862,educational institution | research institute,educational institution,14,2
1805,public educational institution of the united states,educational institution,14,1
894,educational organization | public university,public university,14,2
850,educational institution | open-access publisher | organization | public university,public university,14,4
317,boarding school | high school | secondary school,educational institution,14,3
2026,école d'application,not classified organisation,14,1
1218,historical society,learned society,13,1
889,educational organization | higher education institution | university,university,13,3
843,educational institution | law school,educational institution,13,2
854,educational institution | organization | university,university,13,3
649,collegiate university | educational organization | higher education institution | public research university,university,13,4
69,academic publisher | public research university | university,university,13,3
1785,private school | public policy school,educational institution,13,2
93,academy of sciences | national academy | open-access publisher | organization | school,academy of sciences,13,5
498,catholic seminary | university building,university,13,2
528,census-designated place in the united states | naval academy | observatory | public educational institution of the united states,astronomical observatory,13,4
34,academic publisher | academy | academy of sciences,academy of sciences,13,3
1848,public university | university of excellence,public university,13,2
94,academy of sciences | national academy | organization | public body,academy of sciences,13,4
139,advisory board,not classified organisation,13,1
1636,open-access publisher | production company | public university,public university,13,3
67,academic publisher | public educational institution of the united states | university,university,13,3
174,appellate court,not classified organisation,13,1
1510,military university | private not-for-profit educational institution,university,13,2
767,cultural property | public university | university campus,public university,12,3
1380,land-grant university | public educational institution of the united states | public research university | united states senior military college | university,university,12,5
485,catholic school | high school,educational institution,12,2
1611,open-access publisher | organization,company or gov. agency,12,2
1854,q1265246 | studentenverbindung,not classified organisation,12,2
95,academy of sciences | national academy | swedish royal academies,academy of sciences,12,3
1824,public policy school,educational institution,12,1
169,ancient university of scotland | open-access publisher | public university,public university,12,3
371,boys' school | independent school | school,educational institution,12,3
1536,national academy,scientific organisation,12,1
852,educational institution | open-access publisher | university,university,12,3
1020,general education liceum,not classified organisation,12,1
1157,high school | private school,educational institution,12,2
211,archive | open-access publisher | organization | public university,public university,12,4
457,campus university,university,12,1
315,boarding school | high school | public institution,educational institution,11,3
416,business,company or gov. agency,11,1
406,building | secondary school,educational institution,11,2
1427,learned society | nonprofit organization,learned society,11,2
1370,land-grant university | open-access publisher | public educational institution of the united states | public university | research university,public university,11,5
927,executive branch | government,company or gov. agency,11,2
906,election commission,not classified organisation,11,1
712,constituent college | educational organization | higher education institution | open-access publisher | public research university,university,11,5
1759,primary school | public school,educational institution,11,2
1789,private school | university-preparatory school,university,11,2
1632,open-access publisher | private university,private university,11,2
82,academy of sciences | building | national academy | swedish royal academies,academy of sciences,11,4
76,academy of sciences | archive | database,academy of sciences,11,3
73,academy,learned society,11,1
1898,school | school building,educational institution,11,2
508,catholic university | jesuit university | open-access publisher | private university,private university,11,4
1875,research institute,research organisation,11,1
391,building | former educational institution,educational institution,11,2
1986,united states senior military college,educational institution,11,1
817,dutch court of appeal,not classified organisation,10,1
864,educational institution | school of international relations | university,university,10,3
327,boarding school | independent school | school | secondary school,educational institution,10,4
78,academy of sciences | book publisher | organization,academy of sciences,10,3
880,educational organization | higher education institution | open-access publisher | public research university,university,10,4
895,educational organization | public university | red brick university | research university,public university,10,4
893,educational organization | public research university,university,10,2
576,church college | liberal arts college | private not-for-profit educational institution,educational institution,10,3
216,archive | university,university,10,2
782,day school | secondary school,educational institution,10,2
639,colleges that change lives | conservatory | liberal arts college | private not-for-profit educational institution | university,university,10,5
369,boys' school | higher secondary school | urban school,educational institution,10,3
1329,jesuit university | private not-for-profit educational institution,university,10,2
1220,historical society | learned society | nonprofit organization | research library,learned society,10,4
1274,institute | organization,research organisation,10,2
1136,high court,not classified organisation,10,1
1162,high school | public school | school building,educational institution,10,3
1178,higher education institution directly under ministry of education of the people’s republic of china | university,university,10,2
1165,high school | school,educational institution,10,2
1040,girls' school | high school,educational institution,10,2
201,architectural structure | open-access publisher | public educational institution | university,university,10,4
1351,juvenile political organization,not classified organisation,10,1
615,college | colleges that change lives | liberal arts college | private not-for-profit educational institution,educational institution,10,4
1335,judicial council,not classified organisation,10,1
1418,law school | public educational institution of the united states,educational institution,10,2
479,catholic school | educational organization | private not-for-profit educational institution | private university,private university,9,4
35,academic publisher | catholic university | educational institution | organization,university,9,4
554,charitable organization | public university,public university,9,2
997,former entity | higher education institution | public university | university,public university,9,4
1026,geographic location | liberal arts college | private not-for-profit educational institution,educational institution,9,3
1419,law school | single-family detached home,educational institution,9,2
1505,military school,educational institution,9,1
1414,law school | organization | professional school,educational institution,9,3
1488,meiji era law school,educational institution,9,1
1376,land-grant university | public educational institution of the united states | public research university | publishing company,university,9,4
199,architectural structure | liberal arts college in the united states | private not-for-profit educational institution,educational institution,9,3
1361,labor union | organization,not classified organisation,9,2
363,boys' school | day school | independent school,educational institution,9,3
1148,high school | jesuit school,educational institution,9,2
580,church college | private not-for-profit educational institution | seminary,educational institution,9,3
268,boarding school | boys' high school,educational institution,9,2
1837,public school | secondary school,educational institution,9,2
849,educational institution | open-access publisher | organization | pontifical university,university,9,4
1591,nonprofit organization | secondary school,scientific organisation,9,2
343,boarding school | secondary school | state-integrated school,educational institution,9,3
1619,open-access publisher | pontifical university | private educational institution | private not-for-profit educational institution | university | university campus,university,9,6
117,academy school | secondary school,educational institution,9,2
293,boarding school | charitable organization | independent school | secondary school,educational institution,9,4
108,academy school | boys' school | grammar school | secondary school,educational institution,9,4
87,academy of sciences | learned society | national academy | open-access publisher,learned society,9,4
513,catholic university | open-access publisher | pontifical university | private university | research institute,private university,9,5
636,college | school of international relations,educational institution,9,2
780,day school | independent school | venue,educational institution,9,3
1961,swedish royal academies,not classified organisation,9,1
1984,united states district court,not classified organisation,9,1
1261,institute,research organisation,9,1
667,commission,not classified organisation,9,1
1326,jesuit university | open-access publisher | pontifical university | private educational institution | private not-for-profit educational institution | university,university,9,6
1298,international court | principal organ of the united nations,not classified organisation,9,2
1249,imperial universities of japan,not classified organisation,9,1
340,boarding school | public school | secondary school,educational institution,8,3
1657,open-access publisher | public university | publishing company,public university,8,3
1537,national academy | scientific society,scientific organisation,8,2
1563,newspaper,not classified organisation,8,1
1686,organization | public research university | public university | university of applied sciences | university of excellence,public university,8,5
1624,open-access publisher | pontifical university | university,university,8,3
1538,national academy | swedish royal academies,scientific organisation,8,2
26,academic institution | private university,private university,8,2
1949,student society,learned society,8,1
1354,korporationsverband,not classified organisation,8,1
213,archive | open-access publisher | university,university,8,3
1289,intergovernmental organization | international court,company or gov. agency,8,2
1006,foundation | public university,public university,8,2
526,cemetery | private not-for-profit educational institution | university | women's college,university,8,4
1450,liberal arts college | organization | private not-for-profit educational institution,educational institution,8,3
1314,islamic university,university,8,1
1129,hawza,not classified organisation,8,1
1393,landsmannschaft,not classified organisation,8,1
1330,jesuit university | private not-for-profit educational institution | private university,private university,8,3
762,cultural heritage | faculty,university,8,2
1975,u.s. state,not classified organisation,8,1
1179,higher education institution directly under ministry of education of the people’s republic of china | university | vice-ministerial level university,university,8,3
1757,primary school,educational institution,8,1
1846,public university | university in france,public university,8,2
1812,public educational institution of the united states | public university | university | university building,public university,8,4
75,academy of sciences and arts,academy of sciences,8,1
857,educational institution | private university,private university,8,2
96,academy of sciences | national academy | wikimedia information list,academy of sciences,8,3
1760,primary school | school,educational institution,8,2
85,academy of sciences | extraordinary organ | national academy,academy of sciences,8,3
1877,research institute | voluntary association,research organisation,8,2
511,catholic university | open-access publisher | organization | private university,private university,8,4
1556,national university | university,university,8,2
938,faculty of law | open-access publisher,university,7,2
273,boarding school | boys' school | charitable organization | day school | independent school,educational institution,7,5
884,educational organization | higher education institution | organization | university,university,7,4
527,census-designated place in the united states | land-grant university | open-access publisher | public educational institution of the united states | university,university,7,5
591,club,not classified organisation,7,1
187,architectural heritage monument | open-access publisher | public university | research university,public university,7,4
269,boarding school | boys' high school | boys' school | charitable organization | independent school | public school,educational institution,7,6
1375,land-grant university | public educational institution of the united states | public research university | public university | research university | sea grant institution | space grant institution | sun grant institution,public university,7,8
877,educational organization | higher education institution | open-access publisher | organization | public research university,university,7,5
103,academy school | boarding school,educational institution,7,2
276,boarding school | boys' school | high school,educational institution,7,3
282,boarding school | building | grammar school | public school | secondary school,educational institution,7,5
153,affiliated school | university college,university,7,2
952,faculty | open-access publisher | publishing company,university,7,3
489,catholic seminary,not classified organisation,7,1
1794,private university | women's college,private university,7,2
1799,province court of spain,not classified organisation,7,1
1808,public educational institution of the united states | public research university | university campus,university,7,3
1869,railway company,company or gov. agency,7,1
49,academic publisher | institute of technology | institute of technology | private not-for-profit educational institution | space grant institution | university,institute of technology,7,6
66,academic publisher | public educational institution of the united states | public university,public university,7,3
79,academy of sciences | building,academy of sciences,7,2
989,foreign affairs ministry | ministry of poland,not classified organisation,7,2
147,advocacy group | nonprofit organization,scientific organisation,7,2
423,business school | open-access publisher,educational institution,7,2
476,catholic school,educational institution,7,1
1856,q1423696,not classified organisation,7,1
409,bundestag committee,not classified organisation,7,1
1905,scientific society,scientific organisation,7,1
810,district courts of russia,not classified organisation,7,1
1990,university college,university,7,1
1168,high school | school | specialized high school in new york city,educational institution,7,3
1138,high court of justice of spain,not classified organisation,7,1
714,constituent college | educational organization | higher education institution | public research university,university,7,4
1956,superior court,not classified organisation,7,1
1197,higher education institution | public university | replaced entity | university,public university,7,4
2008,veterans' organization,not classified organisation,7,1
1328,jesuit university | pontifical university,university,7,2
1394,landsmannschaft | studentenverbindung,not classified organisation,7,2
1447,liberal arts college in the united states | private not-for-profit educational institution | private university,private university,7,3
215,archive | superior graduate school in italy,educational institution,7,2
577,church college | private not-for-profit educational institution,educational institution,7,2
559,christian school | church college | private not-for-profit educational institution | private university,private university,7,4
1022,general education school,educational institution,7,1
179,appellate court | high court of japan,not classified organisation,7,2
1271,institute of technology | public university,institute of technology,6,2
1034,german student corps | landsmannschaft,not classified organisation,6,2
1449,liberal arts college in the united states | private not-for-profit educational institution | women's college,educational institution,6,3
1434,learned society | voluntary association,learned society,6,2
1430,learned society | organization,learned society,6,2
1485,medical school,educational institution,6,1
547,charitable organization | independent school,educational institution,6,2
1337,judiciary,not classified organisation,6,1
380,broadcasting board,not classified organisation,6,1
1386,land-grant university | public educational institution of the united states | united states senior military college | university,university,6,4
1200,higher education institution | university,university,6,2
1992,university in newfoundland and labrador,university,6,1
1974,type of educational institution,educational institution,6,1
640,colleges that change lives | liberal arts college,educational institution,6,2
2003,upper secondary school in finland,educational institution,6,1
405,building | school,educational institution,6,2
1182,higher education institution | higher education institution in minsk | organization | university,university,6,4
710,constituent assembly,not classified organisation,6,1
1730,philosophy faculty,university,6,1
445,business | law firm,company or gov. agency,6,2
1819,public educational institution | public university | university of applied sciences,public university,6,3
1834,public school | school,educational institution,6,2
504,catholic university | cultural property | jesuit university | private university,private university,6,4
522,catholic university | private university,private university,6,2
1596,nonprofit organization | veterans' organization,scientific organisation,6,2
844,educational institution | ministerial level institution | public institution directly under central committee of the chinese communist party,educational institution,6,3
1994,university in quebec,university,6,1
1930,sorority,not classified organisation,6,1
424,business school | organization,educational institution,6,2
705,congressional caucus,not classified organisation,6,1
1853,q1265246,not classified organisation,6,1
1838,public school | sekolah menengah atas,educational institution,6,2
1833,public school,educational institution,6,1
91,academy of sciences | national academy | nonprofit organization,academy of sciences,6,3
467,canadian superior court,not classified organisation,6,1
346,boarding school | university-preparatory school,university,6,2
1671,organ of state,not classified organisation,6,1
274,boarding school | boys' school | charitable organization | independent school,educational institution,6,4
517,catholic university | pontifical university,university,6,2
1456,liberal arts college | private university | public university,public university,6,3
1676,organization | private not-for-profit educational institution | private university,private university,6,3
1645,open-access publisher | public educational institution | public university | university,public university,6,4
325,boarding school | independent school | school,educational institution,6,3
1302,international non-governmental organization,company or gov. agency,6,1
